Property,application_count,price_num,applicant_median_lon,applicant_median_lat,property_longitude,property_latitude,median_distance_miles,avg_distance_miles,min_distance_miles,max_distance_miles
39 Swifts Beach Road ~ Wareham,18,284640.0,-70.9397634,41.89568395,-70.7296633,41.7516909,22.200221945173634,24.844994623347283,0.8578371024452062,60.04722465085172
"12 Rebecca Way, Unit 9 ~ Methuen (55+)",18,235975.0,-71.17366759999999,42.685893,-71.2188258,42.7146746,7.6113174120191305,14.028185760600394,1.6251613576291803,81.65078246603787
1 Harvest Drive Unit 110 ~ North Andover,18,196451.0,-71.07257325,42.60281645,-71.0573137,42.6236476,8.58778000295251,12.341241748541794,3.5236654927513933,70.35257639232083
"1 Magnolia Way, Unit 6 ~ Edgartown",18,222035.0,-70.5684337,41.4536222,-70.5270038,41.3946786,4.600407990280461,7.952221117247,0.8126430415353658,77.13768651611768
"2 Harvest Drive, Unit 110",18,189900.0,-71.07993455,42.6028742,-72.4278753,42.1699083,74.35427642874777,74.66623378180456,50.352197057939144,95.86926609642056
27 Meetinghouse Road ~ Norfolk (age restricted),17,258503.0,-71.24884445,42.3554334,-71.1148886,42.1777324,13.804313793740496,26.054654925473145,3.846576887576532,81.4309498660075
West Boylston - 103 Afra Drive Unit 51,17,201820.0,-71.8018877,42.2625621,-71.7750625,42.3446095,5.82824574323953,11.421440491071035,1.6862176123637795,42.690458161899535
"105 Metacomet Ave, ~ East Taunton",16,323958.0,-71.0183787,41.99524065,-71.028435,41.8827727,13.864280558875077,14.276108351100834,3.579349725266186,32.67628340167838
30 Ciderpress Way,16,241100.0,-71.0994968,42.630539,-71.071083,42.6852139,14.223667464200407,21.067022968171003,3.274281798881131,101.26118358426407
"41 Boston Road, Unit 233",16,213200.0,-71.1793624,42.5154232,-71.3139116,42.6229665,10.136063200233798,11.175366780333485,5.008158851138525,22.73167575797895
"5 Woodman Way, #308B ~ Newburyport",15,240400.0,-70.9362957,42.6414437,-70.911264,42.820288,15.590162979635942,17.79429202924316,2.0794870724023666,64.93720376046286
15 Corn Mill Way,15,295471.0,-71.0683741,42.2973205,-70.8969477,42.1336363,14.496802737012025,14.678883683841038,5.924791809648592,24.083932193519068
7 Buttercup Lane ~ Grafton,15,233923.0,-71.5164618,42.2063399,-71.6485065,42.1675434,11.592221432695213,16.960712973964284,3.276525525176735,36.51874208571409
"513 Main St, Unit D ~ Groton",15,197739.0,-71.5745402,42.5595807,-71.588179,42.6225827,14.790038604286067,14.767042137692608,0.5493476036097578,34.50576276877835
18A Longview Circle ~ Ayer,15,266536.0,-71.3517602,42.5464828,-71.5347218,42.5539175,12.987866008426135,14.237320843141635,1.6141272466678618,29.39489503546604
16 Tulip Circle ,14,185182.0,-71.55235895,42.234451,-71.6471609,42.1700649,19.070080238348645,23.313868752844957,3.177669095926746,100.53643349900025
1 Lois Lane ~ Townsend,13,338250.0,-71.3085329,42.5854371,-71.687818,42.6680231,19.347058519818574,26.52417045313232,5.681874098650993,81.014066514556
"1 Rocky Point, Carlisle",13,233433.0,-71.1408776,42.3834278,-71.3488775,42.5376969,16.437600437002484,15.940471254202988,4.310340831981939,26.487658725515395
23 Buttercup Lane ~ Grafton,12,222400.0,-71.7234384,42.2625621,-71.6484447,42.1689069,10.167717103641392,13.053790857276665,3.201871547077565,35.832915398867584
"180 Chickering Road, Unit 307C ",12,148438.0,-71.1408776,42.6414437,-71.1234425,42.6838775,9.843690300983049,13.83016007041473,2.045449292602047,50.81460131058164
1205 Albion Road ~ Bedford,12,269787.0,-71.1956111,42.4982734,-71.2492226,42.5224986,6.133885385893634,11.798070713759913,2.6947757267760575,33.41810692688711
16 Cobblestone Way ~ Sandwich,10,322000.0,-70.4968152,41.7579043,-70.4627267,41.7167568,4.075739634069892,15.383496705568874,3.3400747353323346,53.70571475622456
1 Millbrook Lane ,10,193979.0,-71.0362529,42.4648183,-71.0553947,42.5005422,5.130973722166202,7.79538184845313,2.640169564862393,28.542947007608337
